Date,Adj Close,Close,High,Low,Open,Volume
1997-01-31,12.125,12.125,12.375,12.0,12.25,1241000.0
1997-02-03,12.25,12.25,12.375,12.125,12.375,179700.0
1997-02-04,12.0,12.0,12.375,12.0,12.25,113200.0
1997-02-05,12.0,12.0,12.375,12.0,12.0,236100.0
1997-02-06,12.0,12.0,12.25,12.0,12.0,191600.0
1997-02-07,11.75,11.75,12.125,10.625,12.0,103200.0
1997-02-10,11.5,11.5,11.875,11.5,11.5,45900.0
1997-02-11,10.125,10.125,11.75,9.875,11.5,91100.0
1997-02-12,10.4375,10.4375,10.5,10.0,10.5,80800.0
1997-02-13,10.5,10.5,10.5,10.375,10.5,36100.0
1997-02-14,9.125,9.125,10.5,9.125,10.375,109700.0
1997-02-18,9.125,9.125,9.25,9.125,9.125,7900.0
1997-02-19,8.25,8.25,9.125,8.25,9.125,124400.0
1997-02-20,7.75,7.75,8.5,7.75,8.5,24100.0
1997-02-21,7.875,7.875,8.25,7.75,7.75,28100.0
1997-02-24,8.375,8.375,8.4375,8.0,8.25,94300.0
1997-02-25,11.125,11.125,11.375,9.375,9.625,333700.0
1997-02-26,11.375,11.375,11.625,10.875,11.5,137700.0
1997-02-27,10.875,10.875,11.375,10.875,11.375,71000.0
1997-02-28,9.875,9.875,11.0,9.875,11.0,73500.0
1997-03-03,9.5,9.5,10.125,9.5,10.125,53300.0
1997-03-04,9.6875,9.6875,10.0,9.5,9.5,36500.0
1997-03-05,9.5,9.5,9.75,9.125,9.5,57500.0
1997-03-06,9.375,9.375,9.5,9.125,9.125,9400.0
1997-03-07,9.375,9.375,9.75,9.375,9.75,3100.0
1997-03-10,10.625,10.625,11.125,9.75,9.75,74800.0
1997-03-11,11.625,11.625,11.625,11.0,11.25,45500.0
1997-03-12,11.5,11.5,11.875,11.375,11.625,57600.0
1997-03-13,11.375,11.375,11.75,11.375,11.75,9100.0
1997-03-14,10.875,10.875,11.625,10.625,11.625,19700.0
1997-03-17,10.625,10.625,10.75,10.5,10.625,48600.0
1997-03-18,9.875,9.875,10.625,9.75,10.5,14000.0
1997-03-19,9.75,9.75,10.0,9.75,9.75,9800.0
