Date,Adj Close,Close,High,Low,Open,Volume
1973-02-21,2.000809669494629,5.234375,5.5625,5.234375,0.0,18400.0
1973-02-22,2.0187265872955322,5.28125,5.328125,5.234375,0.0,31200.0
1973-02-23,1.935110092163086,5.0625,5.28125,5.0625,0.0,29600.0
1973-02-26,1.9112210273742676,5.0,5.09375,5.0,0.0,21600.0
1973-02-27,1.8933032751083374,4.953125,5.03125,4.953125,0.0,12800.0
1973-02-28,1.8873307704925537,4.9375,4.953125,4.859375,0.0,44800.0
1973-03-01,1.8933032751083374,4.953125,5.0,4.953125,0.0,23200.0
1973-03-02,1.8918628692626953,4.921875,4.984375,4.84375,0.0,52800.0
1973-03-05,1.8858562707901,4.90625,4.9375,4.90625,0.0,21600.0
1973-03-06,1.8438137769699097,4.796875,4.828125,4.765625,0.0,18400.0
1973-03-07,1.7897619009017944,4.65625,4.8125,4.625,0.0,141600.0
1973-03-08,1.8017739057540894,4.6875,4.75,4.625,0.0,40000.0
1973-03-09,1.8137853145599365,4.71875,4.75,4.6875,0.0,88000.0
1973-03-12,1.8017739057540894,4.6875,4.734375,4.6875,0.0,46400.0
1973-03-13,1.8017739057540894,4.6875,4.703125,4.65625,0.0,60000.0
1973-03-14,1.7897619009017944,4.65625,4.6875,4.625,0.0,103200.0
1973-03-15,1.6816555261611938,4.375,4.578125,4.375,0.0,70400.0
1973-03-16,1.6456190347671509,4.28125,4.296875,4.125,0.0,141600.0
1973-03-19,1.6276018619537354,4.234375,4.265625,4.1875,0.0,69600.0
1973-03-20,1.6155904531478882,4.203125,4.203125,4.140625,0.0,72800.0
1973-03-21,1.6276018619537354,4.234375,4.234375,4.15625,0.0,60000.0
1973-03-22,1.6456190347671509,4.28125,4.28125,4.171875,0.0,82400.0
1973-03-23,1.6516262292861938,4.296875,4.296875,4.25,0.0,79200.0
1973-03-26,1.6516262292861938,4.296875,4.328125,4.28125,0.0,51200.0
1973-03-27,1.7357081174850464,4.515625,4.515625,4.296875,0.0,76000.0
1973-03-28,1.7837563753128052,4.640625,4.6875,4.5625,0.0,70400.0
1973-03-29,1.9038738012313843,4.953125,4.96875,4.671875,0.0,63200.0
1973-03-30,1.8858562707901,4.90625,4.953125,4.8125,0.0,40800.0
1973-04-02,1.8678388595581055,4.859375,4.9375,4.828125,0.0,24000.0
1973-04-03,1.8558263778686523,4.828125,4.859375,4.75,0.0,49600.0
1973-04-04,1.7837563753128052,4.640625,4.8125,4.640625,0.0,34400.0
1973-04-05,1.77774977684021,4.625,4.625,4.59375,0.0,68000.0
1973-04-06,1.669643521308899,4.34375,4.578125,4.34375,0.0,46400.0
1973-04-09,1.639613389968872,4.265625,4.390625,4.125,0.0,360800.0
1973-04-10,1.6936663389205933,4.40625,4.40625,4.296875,0.0,77600.0
1973-04-11,1.7957688570022583,4.671875,4.671875,4.46875,0.0,132800.0
1973-04-12,1.8618321418762207,4.84375,4.875,4.6875,0.0,64800.0
1973-04-13,1.849820852279663,4.8125,4.890625,4.8125,0.0,18400.0
1973-04-16,1.8017739057540894,4.6875,4.8125,4.65625,0.0,52800.0
1973-04-17,1.8017739057540894,4.6875,4.703125,4.6875,0.0,8000.0
1973-04-18,1.7537261247634888,4.5625,4.6875,4.515625,0.0,16800.0
1973-04-19,1.729703426361084,4.5,4.5625,4.5,0.0,28000.0
1973-04-23,1.729703426361084,4.5,4.59375,4.5,0.0,27200.0
1973-04-24,1.7417137622833252,4.53125,4.578125,4.53125,0.0,108800.0
1973-04-25,1.675649881362915,4.359375,4.484375,4.359375,0.0,56000.0
1973-04-26,1.6816555261611938,4.375,4.421875,4.328125,0.0,37600.0
1973-04-27,1.6336078643798828,4.25,4.390625,4.25,0.0,54400.0
1973-04-30,1.7236974239349365,4.484375,4.484375,4.171875,0.0,36800.0
1973-05-01,1.6936663389205933,4.40625,4.515625,4.34375,0.0,111200.0
1973-05-02,1.675649881362915,4.359375,4.515625,4.359375,0.0,107200.0
1973-05-03,1.6516262292861938,4.296875,4.375,4.296875,0.0,63200.0
1973-05-04,1.675649881362915,4.359375,4.359375,4.3125,0.0,183200.0
1973-05-07,1.6576316356658936,4.3125,4.359375,4.3125,0.0,36800.0
1973-05-08,1.6276018619537354,4.234375,4.25,4.1875,0.0,13600.0
1973-05-09,1.6276018619537354,4.234375,4.234375,4.1875,0.0,16800.0
1973-05-10,1.585560917854309,4.125,4.1875,4.109375,0.0,56000.0
1973-05-11,1.6095846891403198,4.1875,4.21875,4.171875,0.0,23200.0
1973-05-14,1.5735489130020142,4.09375,4.140625,4.09375,0.0,33600.0
1973-05-15,1.537513256072998,4.0,4.078125,3.953125,0.0,38400.0
1973-05-16,1.537513256072998,4.0,4.0,3.9375,0.0,94400.0
1973-05-17,1.5134894847869873,3.9375,3.984375,3.9375,0.0,11200.0
1973-05-18,1.5074834823608398,3.921875,3.96875,3.890625,0.0,24000.0
1973-05-21,1.4894664287567139,3.875,3.921875,3.828125,0.0,64800.0
1973-05-22,1.4774540662765503,3.84375,3.9375,3.78125,0.0,43200.0
1973-05-23,1.4894664287567139,3.875,3.890625,3.84375,0.0,37600.0
1973-05-24,1.4954710006713867,3.890625,3.90625,3.8125,0.0,16000.0
1973-05-25,1.5315073728561401,3.984375,4.046875,3.875,0.0,57600.0
1973-05-29,1.537513256072998,4.0,4.078125,3.953125,0.0,18400.0
1973-05-30,1.4894664287567139,3.875,3.984375,3.875,0.0,19200.0
1973-05-31,1.5014785528182983,3.90625,3.9375,3.84375,0.0,12000.0
1973-06-01,1.4894664287567139,3.875,3.875,3.8125,0.0,19200.0
1973-06-04,1.4894664287567139,3.875,3.875,3.8125,0.0,13600.0
1973-06-05,1.465443730354309,3.8125,3.890625,3.8125,0.0,16800.0
1973-06-06,1.4894664287567139,3.875,3.875,3.84375,0.0,138400.0
1973-06-07,1.4474246501922607,3.765625,3.8125,3.75,0.0,36800.0
1973-06-08,1.4714488983154297,3.828125,3.859375,3.8125,0.0,4800.0
1973-06-11,1.4534313678741455,3.78125,3.84375,3.78125,0.0,23200.0
1973-06-12,1.5194966793060303,3.953125,4.0,3.828125,0.0,11200.0
1973-06-13,1.5555315017700195,4.046875,4.046875,4.0,0.0,8800.0
1973-06-14,1.5555315017700195,4.046875,4.046875,4.046875,0.0,4800.0
1973-06-15,1.5014785528182983,3.90625,4.0,3.875,0.0,20800.0
1973-06-18,1.4594370126724243,3.796875,3.875,3.796875,0.0,26400.0
1973-06-19,1.4354133605957031,3.734375,3.75,3.71875,0.0,80800.0
1973-06-20,1.4294071197509766,3.71875,3.765625,3.6875,0.0,26400.0
1973-06-21,1.4113895893096924,3.671875,3.6875,3.671875,0.0,5600.0
1973-06-22,1.4053833484649658,3.65625,3.75,3.65625,0.0,30400.0
1973-06-25,1.4294071197509766,3.71875,3.796875,3.6875,0.0,24800.0
1973-06-26,1.4474246501922607,3.765625,3.765625,3.703125,0.0,12000.0
1973-06-27,1.4714488983154297,3.828125,3.828125,3.703125,0.0,63200.0
1973-06-28,1.4954710006713867,3.890625,3.9375,3.828125,0.0,31200.0
1973-06-29,1.5795552730560303,4.109375,4.140625,3.9375,0.0,22400.0
1973-07-02,1.585560917854309,4.125,4.15625,4.0625,0.0,23200.0
1973-07-03,1.603578805923462,4.171875,4.171875,4.125,0.0,47200.0
1973-07-05,1.7477202415466309,4.546875,4.546875,4.25,0.0,40000.0
1973-07-06,1.7597320079803467,4.578125,4.625,4.53125,0.0,57600.0
1973-07-09,1.6876616477966309,4.390625,4.53125,4.390625,0.0,24800.0
1973-07-10,1.7056798934936523,4.4375,4.46875,4.390625,0.0,20800.0
1973-07-11,1.7357081174850464,4.515625,4.625,4.4375,0.0,32800.0
1973-07-12,1.7236974239349365,4.484375,4.5,4.40625,0.0,15200.0
1973-07-13,1.717690348625183,4.46875,4.5,4.453125,0.0,46400.0
1973-07-16,1.7717454433441162,4.609375,4.609375,4.484375,0.0,185600.0
1973-07-17,1.8257975578308105,4.75,4.75,4.625,0.0,34400.0
1973-07-18,1.8257975578308105,4.75,4.75,4.71875,0.0,56000.0
1973-07-19,1.849820852279663,4.8125,4.8125,4.75,0.0,11200.0
1973-07-20,1.8618321418762207,4.84375,4.875,4.796875,0.0,119200.0
1973-07-23,1.8438137769699097,4.796875,4.875,4.734375,0.0,30400.0
