Date,Adj Close,Close,High,Low,Open,Volume
1996-02-28,8.973616600036621,11.5,11.875,10.25,10.5,6837600.0
1996-02-29,8.583460807800293,11.0,11.875,10.875,11.875,1587200.0
1996-03-01,8.437153816223145,10.8125,11.25,10.75,11.0,452600.0
1996-03-04,8.095767974853516,10.375,11.0,10.375,10.75,546800.0
1996-03-05,8.534693717956543,10.9375,11.0,10.375,10.375,520400.0
1996-03-06,8.632230758666992,11.0625,11.25,10.75,10.9375,265200.0
1996-03-07,8.77854061126709,11.25,11.375,11.0,11.25,388400.0
1996-03-08,8.290843963623047,10.625,11.125,10.625,11.0,184000.0
1996-03-11,8.388382911682129,10.75,10.75,10.5,10.5,493400.0
1996-03-12,9.071160316467285,11.625,11.625,10.625,10.625,124000.0
1996-03-13,9.071160316467285,11.625,12.0,11.625,11.625,176200.0
1996-03-14,9.071160316467285,11.625,11.875,11.625,11.75,44000.0
1996-03-15,9.656394004821777,12.375,12.375,11.75,11.75,72600.0
1996-03-18,9.851471900939941,12.625,12.75,12.125,12.375,426600.0
1996-03-19,9.510085105895996,12.1875,12.75,12.125,12.625,199000.0
1996-03-20,9.656394004821777,12.375,12.375,12.125,12.125,115600.0
1996-03-21,9.558853149414062,12.25,12.5,12.125,12.125,64600.0
1996-03-22,9.461315155029297,12.125,12.375,12.125,12.25,25600.0
1996-03-25,9.485699653625488,12.15625,12.375,12.125,12.125,28400.0
1996-03-26,8.876080513000488,11.375,12.0,11.375,12.0,75000.0
1996-03-27,8.77854061126709,11.25,11.4375,11.25,11.375,178600.0
1996-03-28,9.02238941192627,11.5625,11.625,11.25,11.5,44200.0
1996-03-29,8.973616600036621,11.5,11.75,11.5,11.5,253000.0
1996-04-01,9.071160316467285,11.625,11.75,11.625,11.625,99000.0
1996-04-02,9.16869831085205,11.75,11.875,11.75,11.75,49200.0
1996-04-03,9.16869831085205,11.75,12.0,11.75,11.875,9000.0
1996-04-04,9.16869831085205,11.75,12.0,11.75,12.0,3400.0
1996-04-08,9.071160316467285,11.625,11.75,11.5,11.75,56000.0
1996-04-09,9.266237258911133,11.875,12.125,11.875,12.0,17200.0
1996-04-10,9.802702903747559,12.5625,12.75,12.0,12.0,137200.0
1996-04-11,9.851471900939941,12.625,13.0,12.375,12.75,135200.0
1996-04-12,9.851471900939941,12.625,13.0,12.625,13.0,22400.0
1996-04-15,10.14409065246582,13.0,13.125,12.875,13.125,33400.0
1996-04-16,10.4367094039917,13.375,13.75,13.0,13.125,30800.0
1996-04-17,10.826863288879395,13.875,13.875,13.625,13.75,30800.0
1996-04-18,11.021947860717773,14.125,14.125,13.75,14.125,7800.0
1996-04-19,11.119487762451172,14.25,14.25,14.0,14.0,24800.0
1996-04-22,10.924403190612793,14.0,14.25,14.0,14.0,16200.0
1996-04-23,11.217020988464355,14.375,14.5,14.125,14.125,71600.0
1996-04-24,11.314565658569336,14.5,14.5,14.25,14.5,10600.0
1996-04-25,11.509642601013184,14.75,14.75,14.375,14.4375,73800.0
1996-04-26,11.314565658569336,14.5,14.75,14.375,14.375,8000.0
1996-04-29,11.655956268310547,14.9375,15.125,14.5,14.75,71200.0
1996-04-30,12.485036849975586,16.0,16.0,14.625,14.75,108400.0
1996-05-01,12.582576751708984,16.125,16.625,15.875,16.25,105200.0
1996-05-02,12.777652740478516,16.375,16.625,16.125,16.5,122600.0
1996-05-03,12.875192642211914,16.5,16.5,16.125,16.125,176400.0
1996-05-06,12.680116653442383,16.25,16.5,16.25,16.5,229200.0
1996-05-07,12.289956092834473,15.75,16.125,15.75,15.875,47800.0
1996-05-08,12.680116653442383,16.25,16.25,15.5,15.625,21000.0
1996-05-09,12.680116653442383,16.25,16.5,16.0,16.5,43200.0
1996-05-10,13.362889289855957,17.125,17.125,16.5,16.5,15000.0
1996-05-13,13.362889289855957,17.125,17.125,16.75,16.75,14800.0
1996-05-14,14.240744590759277,18.25,18.5,16.75,16.75,24200.0
1996-05-15,14.070046424865723,18.03125,18.625,18.0,18.625,28600.0
1996-05-16,13.460431098937988,17.25,18.125,17.25,18.125,27200.0
1996-05-17,13.265347480773926,17.0,17.5,17.0,17.0,4400.0
1996-05-20,13.265347480773926,17.0,17.375,16.875,16.875,29600.0
1996-05-21,14.435821533203125,18.5,18.5,17.375,17.375,30400.0
1996-05-22,14.143209457397461,18.125,18.5,18.125,18.5,800.0
1996-05-23,14.04566764831543,18.0,18.5,18.0,18.125,2200.0
1996-05-24,14.070046424865723,18.03125,18.5,18.0,18.5,18400.0
1996-05-28,13.460431098937988,17.25,18.5,16.875,18.5,101000.0
1996-05-29,12.680116653442383,16.25,17.1875,15.875,17.125,168200.0
1996-05-30,12.192414283752441,15.625,15.75,15.5,15.625,32800.0
1996-05-31,12.387495994567871,15.875,15.875,15.6875,15.875,13000.0
1996-06-03,11.655956268310547,14.9375,15.75,14.875,15.625,104400.0
1996-06-04,11.119487762451172,14.25,15.125,14.25,14.625,155600.0
1996-06-05,11.119487762451172,14.25,14.625,14.0,14.25,33400.0
1996-06-06,11.60718059539795,14.875,14.875,13.75,14.0,124800.0
1996-06-07,11.314565658569336,14.5,14.75,14.5,14.625,64200.0
1996-06-10,11.80225944519043,15.125,15.125,14.625,14.75,14800.0
1996-06-11,12.094879150390625,15.5,15.625,15.125,15.375,59000.0
1996-06-12,11.119487762451172,14.25,15.5,14.0,15.5,53800.0
1996-06-13,9.753935813903809,12.5,14.375,12.4375,14.375,89400.0
1996-06-14,10.192856788635254,13.0625,13.0625,12.9375,12.9375,13000.0
1996-06-17,10.33917236328125,13.25,13.25,12.8125,13.25,2800.0
1996-06-18,9.510085105895996,12.1875,13.1875,11.6875,12.6875,109600.0
1996-06-19,9.461315155029297,12.125,12.125,11.6875,12.125,2200.0
1996-06-20,9.119928359985352,11.6875,12.0625,11.1875,11.6875,15400.0
1996-06-21,9.071160316467285,11.625,11.625,11.625,11.625,400.0
1996-06-24,9.071160316467285,11.625,11.625,11.1875,11.1875,9000.0
1996-06-25,9.656394004821777,12.375,12.375,11.625,11.625,245000.0
1996-06-26,9.461315155029297,12.125,12.5,12.125,12.125,15800.0
1996-06-27,9.607623100280762,12.3125,12.4375,12.1875,12.25,80200.0
1996-06-28,10.14409065246582,13.0,13.0,12.3125,12.4375,107400.0
1996-07-01,10.14409065246582,13.0,13.125,12.625,13.125,7800.0
1996-07-02,9.851471900939941,12.625,13.0,12.5,13.0,16600.0
1996-07-03,9.851471900939941,12.625,13.0,12.625,13.0,36400.0
1996-07-05,10.14409065246582,13.0,13.0,13.0,13.0,1000.0
1996-07-08,9.949013710021973,12.75,12.75,12.75,12.75,3000.0
1996-07-09,9.753935813903809,12.5,12.875,12.4375,12.875,40400.0
1996-07-10,9.656394004821777,12.375,12.625,12.375,12.375,3800.0
1996-07-11,9.851471900939941,12.625,12.625,12.375,12.375,1800.0
1996-07-12,9.558853149414062,12.25,12.875,12.25,12.375,81600.0
1996-07-15,8.77854061126709,11.25,12.25,11.25,12.25,20800.0
1996-07-16,8.632230758666992,11.0625,11.5,10.625,11.125,39400.0
1996-07-17,8.632230758666992,11.0625,11.125,10.625,11.0,45800.0
1996-07-18,8.729771614074707,11.1875,11.1875,10.875,11.125,29400.0
1996-07-19,8.77854061126709,11.25,11.25,10.875,10.875,7000.0
1996-07-22,8.583460807800293,11.0,11.25,11.0,11.25,10400.0
1996-07-23,8.290843963623047,10.625,10.875,10.625,10.875,12800.0
1996-07-24,7.705606937408447,9.875,10.375,9.875,10.375,136200.0
1996-07-25,7.900688648223877,10.125,10.5,10.125,10.5,19600.0
1996-07-26,7.998223781585693,10.25,10.5,10.125,10.25,32200.0
1996-07-29,8.290843963623047,10.625,10.625,10.625,10.625,400.0
1996-07-30,8.095767974853516,10.375,10.75,10.125,10.125,137200.0
1996-07-31,8.095767974853516,10.375,10.75,10.375,10.375,113400.0
1996-08-01,9.363779067993164,12.0,12.0,10.5625,10.75,118600.0
1996-08-02,9.705162048339844,12.4375,12.4375,11.875,12.25,16800.0
1996-08-05,9.656394004821777,12.375,12.375,12.3125,12.3125,20400.0
1996-08-06,9.802702903747559,12.5625,12.5625,12.5625,12.5625,45200.0
1996-08-07,9.558853149414062,12.25,12.53125,12.25,12.53125,50600.0
1996-08-08,9.558853149414062,12.25,12.25,11.875,11.9375,17800.0
1996-08-09,9.558853149414062,12.25,12.25,12.25,12.25,0.0
1996-08-12,9.266237258911133,11.875,12.25,11.875,12.25,600.0
1996-08-13,9.266237258911133,11.875,11.875,11.875,11.875,800.0
1996-08-14,9.461315155029297,12.125,12.125,12.125,12.125,600.0
1996-08-15,9.266237258911133,11.875,11.875,11.75,11.75,8000.0
1996-08-16,9.363779067993164,12.0,12.0,11.546875,11.546875,3000.0
1996-08-19,8.680998802185059,11.125,11.5,11.125,11.5,17800.0
1996-08-20,8.510309219360352,10.90625,10.90625,10.90625,10.90625,800.0
1996-08-21,8.388382911682129,10.75,11.25,10.75,11.25,800.0
1996-08-22,8.77854061126709,11.25,11.25,10.75,10.75,1600.0
1996-08-23,8.77854061126709,11.25,11.25,11.25,11.25,2200.0
1996-08-26,8.632230758666992,11.0625,11.25,11.0625,11.25,32000.0
1996-08-27,8.77854061126709,11.25,11.25,11.25,11.25,200.0
1996-08-28,8.77854061126709,11.25,11.25,11.25,11.25,200.0
1996-08-29,8.388382911682129,10.75,10.75,10.75,10.75,7000.0
1996-08-30,8.388382911682129,10.75,11.25,10.75,11.25,3800.0
1996-09-03,8.388382911682129,10.75,10.875,10.75,10.75,58000.0
1996-09-04,8.729771614074707,11.1875,11.1875,10.75,10.875,1600.0
1996-09-05,8.729771614074707,11.1875,11.1875,11.1875,11.1875,200.0
1996-09-06,8.583460807800293,11.0,11.0,10.75,10.75,6000.0
1996-09-09,8.632230758666992,11.0625,11.1875,11.0,11.1875,26400.0
1996-09-10,8.729771614074707,11.1875,11.1875,11.1875,11.1875,2000.0
1996-09-11,8.827311515808105,11.3125,11.3125,11.3125,11.3125,5200.0
1996-09-12,8.534693717956543,10.9375,11.3125,10.9375,11.3125,13600.0
1996-09-13,8.632230758666992,11.0625,11.0625,11.0625,11.0625,4000.0
1996-09-16,8.583460807800293,11.0,11.0,11.0,11.0,2600.0
1996-09-17,8.924850463867188,11.4375,11.4375,11.0,11.0,800.0
1996-09-18,8.388382911682129,10.75,11.0,10.75,10.9375,10000.0
1996-09-19,8.48592472076416,10.875,10.875,10.75,10.75,7400.0
1996-09-20,8.48592472076416,10.875,10.875,10.875,10.875,3600.0
1996-09-23,8.388382911682129,10.75,10.875,10.75,10.875,8800.0
1996-09-24,8.388382911682129,10.75,10.75,10.75,10.75,0.0
1996-09-25,8.095767974853516,10.375,10.75,10.375,10.75,1200.0
1996-09-26,8.095767974853516,10.375,10.625,10.375,10.375,6600.0
1996-09-27,7.998223781585693,10.25,10.5,10.0,10.4375,50800.0
1996-09-30,7.900688648223877,10.125,10.125,9.75,10.125,66400.0
