Date,Adj Close,Close,High,Low,Open,Volume
1994-04-07,2.621270179748535,4.5625,4.5625,4.5625,4.5625,9600.0
1994-04-08,2.6392250061035156,4.59375,4.59375,4.59375,4.59375,8400.0
1994-04-11,2.693084955215454,4.6875,4.6875,4.5625,4.5625,75600.0
1994-04-12,2.6571784019470215,4.625,4.625,4.5625,4.5625,16000.0
1994-04-13,2.6571784019470215,4.625,4.625,4.625,4.625,0.0
1994-04-14,2.7289950847625732,4.75,4.75,4.75,4.75,1200.0
1994-04-15,2.6571784019470215,4.625,4.625,4.53125,4.5625,168400.0
1994-04-18,2.621270179748535,4.5625,4.75,4.53125,4.5625,120400.0
1994-04-19,2.693084955215454,4.6875,4.6875,4.6875,4.6875,400.0
1994-04-20,2.7289950847625732,4.75,4.75,4.75,4.75,3200.0
1994-04-21,2.7289950847625732,4.75,4.75,4.625,4.625,16800.0
1994-04-22,2.7289950847625732,4.75,4.75,4.625,4.625,2000.0
1994-04-25,2.7289950847625732,4.75,4.75,4.75,4.75,2000.0
1994-04-26,2.800809383392334,4.875,4.875,4.75,4.75,2000.0
1994-04-28,2.693084955215454,4.6875,4.875,4.6875,4.875,2000.0
1994-04-29,2.7649011611938477,4.8125,5.0625,4.6875,4.6875,19600.0
1994-05-02,2.872624635696411,5.0,5.0,5.0,5.0,2000.0
1994-05-03,2.908531427383423,5.0625,5.0625,4.75,4.75,39600.0
1994-05-04,2.8367197513580322,4.9375,5.0625,4.8125,5.0625,19600.0
1994-05-05,2.908531427383423,5.0625,5.0625,5.0625,5.0625,2800.0
1994-05-06,2.800809383392334,4.875,5.0625,4.875,5.0625,8400.0
1994-05-09,2.908531427383423,5.0625,5.0625,4.875,5.0625,34000.0
1994-05-10,3.159888744354248,5.5,5.5,5.0,5.0,66800.0
1994-05-11,3.0162577629089355,5.25,5.5625,5.25,5.25,14000.0
1994-05-12,3.2317066192626953,5.625,5.625,5.25,5.25,40400.0
1994-05-13,3.0521669387817383,5.3125,5.625,5.3125,5.625,14800.0
1994-05-16,3.12398099899292,5.4375,5.4375,5.3125,5.4375,17600.0
1994-05-17,3.159888744354248,5.5,5.5,5.3125,5.3125,37200.0
1994-05-18,3.0701189041137695,5.34375,5.5,5.3125,5.3125,27200.0
1994-05-19,3.2137506008148193,5.59375,5.625,5.4375,5.5625,49600.0
1994-05-20,3.447150707244873,6.0,6.25,5.5625,5.75,103200.0
1994-05-23,3.5189661979675293,6.125,6.4375,6.0,6.25,30400.0
1994-05-24,3.8780436515808105,6.75,6.75,6.25,6.375,54800.0
1994-05-25,3.8780436515808105,6.75,7.0,6.625,6.625,82400.0
1994-05-26,3.8780436515808105,6.75,7.125,6.75,6.875,30800.0
1994-05-27,3.9857659339904785,6.9375,7.0,6.75,6.9375,20800.0
1994-05-31,4.057582855224609,7.0625,7.0625,6.75,7.0,7600.0
1994-06-01,3.9498605728149414,6.875,7.0625,6.875,7.0625,30000.0
1994-06-02,3.9498605728149414,6.875,7.0,6.875,6.875,16000.0
1994-06-03,4.021674156188965,7.0,7.0,6.875,6.875,24400.0
1994-06-06,3.9498605728149414,6.875,7.0,6.75,6.75,14000.0
1994-06-07,4.021674156188965,7.0,7.0,6.75,7.0,7600.0
1994-06-08,3.8780436515808105,6.75,7.0,6.75,6.75,27600.0
1994-06-09,3.806227445602417,6.625,6.6875,6.625,6.6875,3200.0
1994-06-10,3.8780436515808105,6.75,6.8125,6.625,6.625,44800.0
1994-06-13,3.9498605728149414,6.875,6.875,6.625,6.875,9200.0
1994-06-14,3.9498605728149414,6.875,6.875,6.625,6.875,21600.0
1994-06-15,3.8780436515808105,6.75,6.75,6.75,6.75,8000.0
1994-06-16,3.9857659339904785,6.9375,6.9375,6.625,6.625,12000.0
1994-06-17,3.8780436515808105,6.75,6.75,6.625,6.625,23200.0
1994-06-20,3.9857659339904785,6.9375,6.9375,6.875,6.875,3200.0
1994-06-21,3.9498605728149414,6.875,6.875,6.625,6.625,7600.0
1994-06-22,3.8421361446380615,6.6875,6.875,6.5,6.875,17600.0
1994-06-23,3.913952589035034,6.8125,6.8125,6.8125,6.8125,800.0
1994-06-24,3.734412908554077,6.5,6.6875,6.5,6.5,20400.0
1994-06-27,3.734412908554077,6.5,6.6875,6.5,6.6875,44000.0
1994-06-28,3.788273572921753,6.59375,6.6875,6.5,6.5,10400.0
1994-06-29,3.8421361446380615,6.6875,6.6875,6.6875,6.6875,4000.0
1994-06-30,3.734412908554077,6.5,6.59375,6.5,6.59375,1200.0
1994-07-01,3.734412908554077,6.5,6.6875,6.5,6.6875,16000.0
1994-07-05,3.806227445602417,6.625,6.6875,6.4375,6.6875,38000.0
1994-07-06,3.806227445602417,6.625,6.625,6.4375,6.625,8800.0
1994-07-07,3.806227445602417,6.625,6.625,6.4375,6.4375,50400.0
1994-07-08,3.806227445602417,6.625,6.625,6.625,6.625,2000.0
1994-07-11,3.770320415496826,6.5625,6.625,6.4375,6.625,19200.0
1994-07-12,3.770320415496826,6.5625,6.5625,6.4375,6.4375,22000.0
1994-07-13,3.770320415496826,6.5625,6.5625,6.4375,6.4375,8400.0
1994-07-14,3.770320415496826,6.5625,6.5625,6.5625,6.5625,8400.0
1994-07-15,3.6985063552856445,6.4375,6.5625,6.4375,6.4375,20000.0
1994-07-18,3.770320415496826,6.5625,6.5625,6.4375,6.5625,34800.0
1994-07-19,3.770320415496826,6.5625,6.5625,6.4375,6.5625,7600.0
1994-07-20,3.806227445602417,6.625,6.625,6.4375,6.5625,58400.0
1994-07-21,4.057582855224609,7.0625,7.0625,6.5,6.5,55200.0
1994-07-22,4.596201419830322,8.0,8.0,7.0,7.3125,102000.0
1994-07-25,4.524385929107666,7.875,8.25,7.875,8.125,46000.0
1994-07-26,4.596201419830322,8.0,8.125,7.75,8.125,94000.0
1994-07-27,4.452569961547852,7.75,8.0,7.75,8.0,32800.0
1994-07-28,4.452569961547852,7.75,7.9375,7.75,7.9375,14800.0
1994-07-29,4.560291767120361,7.9375,7.9375,7.75,7.9375,26800.0
1994-08-01,4.560291767120361,7.9375,7.9375,7.9375,7.9375,2000.0
1994-08-02,4.524385929107666,7.875,7.9375,7.75,7.9375,26400.0
1994-08-03,4.524385929107666,7.875,8.0,7.75,7.875,26000.0
1994-08-04,4.668015956878662,8.125,8.125,8.0,8.0,1200.0
1994-08-05,4.668015956878662,8.125,8.25,8.0,8.0,84800.0
1994-08-08,4.811647891998291,8.375,8.375,7.875,7.875,86400.0
1994-08-09,5.045046329498291,8.78125,8.875,8.375,8.5,75200.0
1994-08-10,5.1348185539245605,8.9375,8.9375,8.75,8.875,28800.0
1994-08-11,5.1707258224487305,9.0,9.125,8.78125,9.125,109200.0
1994-08-12,5.1348185539245605,8.9375,9.125,8.9375,9.125,10000.0
1994-08-15,4.919370174407959,8.5625,9.0625,8.5625,8.9375,82000.0
1994-08-16,4.919370174407959,8.5625,8.875,8.5,8.5625,44400.0
1994-08-17,5.063004016876221,8.8125,8.875,8.5,8.5,15200.0
1994-08-18,4.955279350280762,8.625,9.0,8.5625,9.0,5200.0
1994-08-19,4.955279350280762,8.625,9.0,8.625,9.0,20800.0
1994-08-22,5.063004016876221,8.8125,8.875,8.75,8.75,32800.0
1994-08-23,5.24254035949707,9.125,9.125,8.71875,8.71875,118800.0
1994-08-24,5.206634998321533,9.0625,9.125,8.875,8.875,14400.0
1994-08-25,5.1348185539245605,8.9375,9.0625,8.9375,8.9375,16000.0
1994-08-26,5.24254035949707,9.125,9.125,9.0,9.0,67600.0
1994-08-29,5.24254035949707,9.125,9.125,8.9375,9.125,72000.0
1994-08-30,5.206634998321533,9.0625,9.0625,8.8125,8.8125,24000.0
1994-08-31,5.063004016876221,8.8125,9.0625,8.8125,9.0625,13600.0
1994-09-01,5.098909378051758,8.875,8.875,8.8125,8.8125,17200.0
1994-09-02,5.063004016876221,8.8125,9.0,8.8125,9.0,9200.0
1994-09-06,5.063004016876221,8.8125,9.0,8.75,8.75,16000.0
1994-09-07,4.955279350280762,8.625,9.0,8.625,8.8125,28800.0
1994-09-08,4.991186141967773,8.6875,9.0,8.625,8.875,47200.0
1994-09-09,5.1348185539245605,8.9375,8.9375,8.6875,8.6875,26800.0
1994-09-12,5.1348185539245605,8.9375,8.9375,8.6875,8.6875,12800.0
1994-09-13,5.02709436416626,8.75,8.75,8.6875,8.6875,21600.0
1994-09-14,5.1707258224487305,9.0,9.0,8.6875,8.9375,9200.0
1994-09-15,5.1707258224487305,9.0,9.0,8.75,9.0,13600.0
1994-09-16,5.1707258224487305,9.0,9.0,8.75,8.75,6800.0
1994-09-19,5.098909378051758,8.875,9.0,8.875,9.0,21200.0
1994-09-20,5.098909378051758,8.875,9.0625,8.875,9.0625,169600.0
1994-09-21,5.206634998321533,9.0625,9.0625,8.9375,9.0,8400.0
1994-09-22,5.098909378051758,8.875,8.875,8.875,8.875,4000.0
1994-09-23,5.1348185539245605,8.9375,8.9375,8.9375,8.9375,4000.0
1994-09-26,5.1348185539245605,8.9375,9.0,8.9375,8.9375,8000.0
1994-09-27,5.1707258224487305,9.0,9.0625,8.9375,8.9375,20000.0
1994-09-28,5.1707258224487305,9.0,9.0625,8.9375,8.9375,18000.0
1994-09-29,5.1707258224487305,9.0,9.1875,9.0,9.0,27600.0
1994-09-30,5.1707258224487305,9.0,9.125,9.0,9.0,12400.0
1994-10-03,5.24254035949707,9.125,9.125,9.0,9.0,6800.0
1994-10-04,5.1707258224487305,9.0,9.1875,9.0,9.0,38000.0
1994-10-05,5.206634998321533,9.0625,9.0625,9.0625,9.0625,1200.0
1994-10-06,5.24254035949707,9.125,9.125,9.03125,9.125,6800.0
1994-10-07,5.1348185539245605,8.9375,9.125,8.9375,9.125,2800.0
1994-10-10,5.24254035949707,9.125,9.125,8.9375,8.9375,6000.0
1994-10-11,5.24254035949707,9.125,9.125,8.9375,9.0,10800.0
1994-10-12,5.1348185539245605,8.9375,9.125,8.9375,9.125,5200.0
1994-10-13,5.24254035949707,9.125,9.125,8.9375,8.9375,800.0
1994-10-14,5.1707258224487305,9.0,9.1875,8.9375,9.1875,8800.0
1994-10-17,5.314356803894043,9.25,9.25,9.0,9.1875,8400.0
1994-10-18,5.314356803894043,9.25,9.28125,9.125,9.25,8800.0
1994-10-19,5.314356803894043,9.25,9.25,9.125,9.25,10400.0
1994-10-20,5.350264072418213,9.3125,9.4375,9.25,9.25,14800.0
1994-10-21,5.601618766784668,9.75,9.75,9.375,9.5,16800.0
1994-10-24,5.601618766784668,9.75,10.125,9.75,9.875,37600.0
1994-10-25,5.6375250816345215,9.8125,10.0625,9.75,9.75,17600.0
1994-10-26,5.6375250816345215,9.8125,10.0625,9.8125,10.0625,11200.0
1994-10-27,5.601618766784668,9.75,10.0625,9.75,10.0625,15200.0
1994-10-28,5.601618766784668,9.75,10.0,9.75,9.96875,28800.0
1994-10-31,5.6734395027160645,9.875,9.875,9.625,9.875,29200.0
1994-11-01,5.727295398712158,9.96875,10.0,9.75,9.75,5600.0
1994-11-02,5.601618766784668,9.75,10.0,9.75,9.96875,23200.0
1994-11-03,5.745249271392822,10.0,10.0,9.8125,10.0,15200.0
1994-11-04,6.068418979644775,10.5625,10.5625,9.875,10.0,133600.0
1994-11-07,6.032515525817871,10.5,10.875,10.25,10.6875,27600.0
1994-11-08,6.032515525817871,10.5,10.75,10.5,10.75,23200.0
1994-11-09,6.032515525817871,10.5,10.75,10.4375,10.75,35200.0
1994-11-10,5.996604919433594,10.4375,10.6875,10.4375,10.625,10400.0
1994-11-11,6.140237808227539,10.6875,10.6875,10.4375,10.6875,6800.0
1994-11-14,6.032515525817871,10.5,10.6875,10.5,10.5,33200.0
1994-11-15,6.032515525817871,10.5,10.625,10.5,10.5,24000.0
1994-11-16,6.032515525817871,10.5,10.625,10.375,10.5,48800.0
1994-11-17,5.960696220397949,10.375,10.5625,10.375,10.5,18800.0
1994-11-18,5.960696220397949,10.375,10.5625,10.375,10.5625,10000.0
1994-11-21,5.960696220397949,10.375,10.375,10.25,10.375,13200.0
1994-11-22,5.4579901695251465,9.5,10.25,9.5,10.125,50000.0
1994-11-23,5.601618766784668,9.75,9.75,9.375,9.4375,8800.0
1994-11-25,5.745249271392822,10.0,10.0,9.5,9.75,15200.0
1994-11-28,5.745249271392822,10.0,10.0,9.6875,10.0,8800.0
1994-11-29,5.6734395027160645,9.875,10.0625,9.6875,10.0,11600.0
1994-11-30,5.7811598777771,10.0625,10.0625,9.75,10.0625,18000.0
1994-12-01,5.56571102142334,9.6875,9.9375,9.6875,9.9375,6800.0
1994-12-02,5.6734395027160645,9.875,9.9375,9.875,9.9375,2800.0
1994-12-05,5.56571102142334,9.6875,10.0625,9.6875,10.0625,2400.0
1994-12-06,5.493895053863525,9.5625,9.5625,9.5625,9.5625,2000.0
1994-12-07,5.56571102142334,9.6875,9.875,9.5625,9.875,4800.0
1994-12-08,5.493895053863525,9.5625,9.875,9.5625,9.5625,8800.0
1994-12-09,5.6734395027160645,9.875,9.875,9.5625,9.5625,18400.0
1994-12-12,5.422080039978027,9.4375,9.9375,9.4375,9.9375,11200.0
1994-12-13,5.422080039978027,9.4375,9.8125,9.4375,9.625,8000.0
1994-12-14,5.350264072418213,9.3125,9.8125,9.3125,9.4375,22000.0
1994-12-15,5.422080039978027,9.4375,9.4375,9.25,9.3125,18800.0
1994-12-16,5.422080039978027,9.4375,9.4375,9.25,9.25,1200.0
1994-12-19,5.350264072418213,9.3125,9.5,9.3125,9.3125,13200.0
1994-12-20,5.4579901695251465,9.5,9.5,9.3125,9.3125,12000.0
1994-12-21,5.4579901695251465,9.5,9.5,9.5,9.5,6800.0
1994-12-22,5.350264072418213,9.3125,9.4375,9.3125,9.3125,28800.0
1994-12-23,5.4579901695251465,9.5,9.5,9.3125,9.3125,4800.0
1994-12-27,5.386169910430908,9.375,9.5,9.25,9.5,37200.0
1994-12-28,5.278450012207031,9.1875,9.375,9.1875,9.375,12400.0
1994-12-29,5.386169910430908,9.375,9.375,9.1875,9.1875,800.0
1994-12-30,5.386169910430908,9.375,9.375,9.1875,9.1875,9200.0
1995-01-03,5.24254035949707,9.125,9.375,9.125,9.1875,36800.0
1995-01-04,5.098909378051758,8.875,9.1875,8.875,9.125,19200.0
1995-01-05,5.1707258224487305,9.0,9.0,8.5625,8.8125,62800.0
1995-01-06,5.063004016876221,8.8125,9.0625,8.8125,8.9375,3600.0
1995-01-09,5.206634998321533,9.0625,9.0625,8.8125,8.8125,3200.0
1995-01-10,5.206634998321533,9.0625,9.0625,8.8125,8.8125,26000.0
1995-01-11,5.063004016876221,8.8125,9.0625,8.8125,8.8125,16000.0
1995-01-12,5.1707258224487305,9.0,9.0,8.75,9.0,16400.0
1995-01-13,4.973231792449951,8.65625,8.8125,8.625,8.75,19600.0
1995-01-16,5.02709436416626,8.75,8.75,8.5,8.5,7600.0
1995-01-17,4.919370174407959,8.5625,8.75,8.5,8.75,14800.0
1995-01-18,5.02709436416626,8.75,8.75,8.5625,8.75,12800.0
1995-01-19,4.919370174407959,8.5625,8.5625,8.5625,8.5625,800.0
1995-01-20,5.098909378051758,8.875,8.875,8.695313453674316,8.75,18800.0
1995-01-23,5.206634998321533,9.0625,9.0625,8.875,8.875,18000.0
1995-01-24,5.24254035949707,9.125,9.125,9.0625,9.0625,16400.0
1995-01-25,5.24254035949707,9.125,9.125,9.125,9.125,3600.0
1995-01-26,5.24254035949707,9.125,9.125,9.125,9.125,0.0
1995-01-27,5.24254035949707,9.125,9.125,8.875,9.0625,8400.0
1995-01-30,5.24254035949707,9.125,9.125,8.875,8.875,24800.0
1995-01-31,5.24254035949707,9.125,9.125,8.875,9.125,4000.0
1995-02-01,5.24254035949707,9.125,9.125,8.875,8.875,8400.0
1995-02-02,5.24254035949707,9.125,9.125,9.125,9.125,2800.0
1995-02-03,5.1707258224487305,9.0,9.125,8.9375,9.125,2000.0
1995-02-06,5.24254035949707,9.125,9.25,8.9375,9.125,9600.0
1995-02-07,5.314356803894043,9.25,9.25,9.25,9.25,2800.0
1995-02-08,5.386169910430908,9.375,9.375,9.1875,9.25,89600.0
1995-02-09,5.422080039978027,9.4375,9.4375,9.1875,9.4375,20400.0
1995-02-10,5.422080039978027,9.4375,9.4375,9.4375,9.4375,0.0
1995-02-13,5.422080039978027,9.4375,9.4375,9.1875,9.1875,2400.0
1995-02-14,5.314356803894043,9.25,9.4375,9.25,9.4375,2800.0
1995-02-15,5.386169910430908,9.375,9.5625,9.375,9.5625,8800.0
1995-02-16,5.529802322387695,9.625,9.625,9.625,9.625,12800.0
1995-02-17,5.529802322387695,9.625,9.625,9.5,9.625,12800.0
1995-02-21,5.601618766784668,9.75,9.75,9.6875,9.6875,12400.0
1995-02-22,5.745249271392822,10.0,10.0,9.6875,9.875,14000.0
1995-02-23,6.032515525817871,10.5,10.75,10.0,10.0,36800.0
1995-02-24,5.996604919433594,10.4375,10.5,10.0,10.0,20800.0
1995-02-27,5.817062854766846,10.125,10.4375,10.0625,10.4375,42800.0
1995-02-28,5.960696220397949,10.375,10.375,10.125,10.375,17600.0
1995-03-01,5.888882637023926,10.25,10.3125,10.25,10.3125,10800.0
1995-03-02,5.852975845336914,10.1875,10.1875,9.9375,9.9375,14400.0
1995-03-03,5.888882637023926,10.25,10.25,10.0,10.25,41200.0
1995-03-06,6.104333877563477,10.625,10.625,10.25,10.375,61200.0
1995-03-07,5.888882637023926,10.25,10.75,10.25,10.75,4400.0
1995-03-08,5.817062854766846,10.125,10.5625,10.125,10.125,6000.0
1995-03-09,6.104333877563477,10.625,10.625,10.1875,10.5625,51600.0
1995-03-10,5.888882637023926,10.25,10.625,10.25,10.625,57600.0
1995-03-13,6.140237808227539,10.6875,10.6875,10.25,10.25,70400.0
