Date,Adj Close,Close,High,Low,Open,Volume
1994-10-31,6.517526626586914,8.3125,8.3125,8.1875,8.1875,1984200.0
1994-11-01,6.468524932861328,8.25,8.3125,8.1875,8.3125,2176400.0
1994-11-02,6.419518947601318,8.1875,8.25,8.1875,8.25,2348200.0
1994-11-03,6.419518947601318,8.1875,8.25,8.125,8.1875,2060800.0
1994-11-04,6.370512008666992,8.125,8.25,8.125,8.1875,2663800.0
1994-11-07,6.3215107917785645,8.0625,8.0625,8.0,8.0625,1049400.0
1994-11-08,6.174495697021484,7.875,8.0625,7.875,8.0625,5761000.0
1994-11-09,6.272507667541504,8.0,8.0625,7.9375,7.9375,2480000.0
1994-11-10,6.3215107917785645,8.0625,8.0625,8.0,8.0,1956000.0
1994-11-11,6.272507667541504,8.0,8.0625,8.0,8.0625,1300200.0
1994-11-14,6.223504066467285,7.9375,7.9375,7.875,7.9375,1419200.0
1994-11-15,6.174495697021484,7.875,7.9375,7.875,7.9375,3118800.0
1994-11-16,6.174495697021484,7.875,7.9375,7.875,7.875,813400.0
1994-11-17,6.125494956970215,7.8125,7.875,7.75,7.875,1477600.0
1994-11-18,6.076489448547363,7.75,7.8125,7.6875,7.8125,2452600.0
1994-11-21,5.929480075836182,7.5625,7.75,7.5625,7.75,3276000.0
1994-11-22,5.831472873687744,7.4375,7.625,7.4375,7.5625,2725000.0
1994-11-23,5.880475044250488,7.5,7.5,7.3125,7.4375,2634200.0
1994-11-25,5.880475044250488,7.5,7.5,7.5,7.5,640800.0
1994-11-28,5.929480075836182,7.5625,7.5625,7.4375,7.5,1583400.0
1994-11-29,5.880475044250488,7.5,7.5625,7.4375,7.5625,1056400.0
1994-11-30,5.880475044250488,7.5,7.5,7.4375,7.5,1086800.0
1994-12-01,5.831472873687744,7.4375,7.5,7.4375,7.5,979000.0
1994-12-02,5.880475044250488,7.5,7.5,7.375,7.4375,1257200.0
1994-12-05,5.831472873687744,7.4375,7.5625,7.4375,7.5,1071200.0
1994-12-06,5.831472873687744,7.4375,7.4375,7.375,7.4375,1819200.0
1994-12-07,5.782466888427734,7.375,7.4375,7.3125,7.4375,1223400.0
1994-12-08,5.782466888427734,7.375,7.4375,7.375,7.375,1178400.0
1994-12-09,5.782466888427734,7.375,7.375,7.3125,7.375,1682000.0
1994-12-12,5.782466888427734,7.375,7.4375,7.3125,7.375,1011400.0
1994-12-13,5.831472873687744,7.4375,7.5,7.375,7.375,1555200.0
1994-12-14,5.880475044250488,7.5,7.5,7.4375,7.4375,1351600.0
1994-12-15,5.880475044250488,7.5,7.5625,7.375,7.5,2600400.0
1994-12-16,5.880475044250488,7.5,7.5625,7.4375,7.5,3428800.0
1994-12-19,5.929480075836182,7.5625,7.625,7.375,7.5,3590000.0
1994-12-20,5.978482723236084,7.625,7.625,7.5625,7.5625,1464200.0
1994-12-21,5.978482723236084,7.625,7.6875,7.625,7.625,3717600.0
1994-12-22,6.076489448547363,7.75,7.75,7.625,7.625,1467200.0
1994-12-23,5.978482723236084,7.625,7.75,7.625,7.75,1012000.0
1994-12-27,6.076489448547363,7.75,7.75,7.625,7.625,3242800.0
1994-12-28,6.076489448547363,7.75,7.75,7.625,7.75,1814400.0
1994-12-29,6.125494956970215,7.8125,7.8125,7.75,7.75,1436200.0
1994-12-30,6.125494956970215,7.8125,7.8125,7.6875,7.8125,1365600.0
1995-01-03,6.076489448547363,7.75,7.8125,7.6875,7.8125,1064200.0
1995-01-04,6.027487754821777,7.6875,7.8125,7.625,7.75,1751600.0
1995-01-05,6.076489448547363,7.75,7.75,7.625,7.6875,1600200.0
1995-01-06,6.027487754821777,7.6875,7.8125,7.6875,7.75,2230600.0
1995-01-09,6.027487754821777,7.6875,7.75,7.625,7.6875,2108800.0
1995-01-10,6.027487754821777,7.6875,7.75,7.6875,7.6875,1580600.0
1995-01-11,5.978482723236084,7.625,7.6875,7.5625,7.6875,3488600.0
1995-01-12,5.880475044250488,7.5,7.5625,7.5,7.5625,1875600.0
1995-01-13,5.929480075836182,7.5625,7.5625,7.5625,7.5625,2206600.0
1995-01-16,5.978482723236084,7.625,7.625,7.5625,7.5625,3502000.0
1995-01-17,5.978482723236084,7.625,7.6875,7.625,7.625,1322800.0
1995-01-18,5.929480075836182,7.5625,7.625,7.5625,7.625,2150400.0
1995-01-19,5.880475044250488,7.5,7.5,7.4375,7.5,3214600.0
1995-01-20,5.880475044250488,7.5,7.5625,7.4375,7.5,2263800.0
1995-01-23,5.929480075836182,7.5625,7.5625,7.4375,7.5,4176200.0
1995-01-24,5.929480075836182,7.5625,7.625,7.5,7.5625,1362800.0
1995-01-25,5.978482723236084,7.625,7.625,7.5625,7.5625,2840000.0
1995-01-26,5.537447929382324,7.0625,7.125,6.875,7.125,14524000.0
1995-01-27,5.439435958862305,6.9375,7.125,6.9375,7.0625,7288800.0
1995-01-30,5.488440036773682,7.0,7.0,6.9375,6.9375,3881000.0
1995-01-31,5.537447929382324,7.0625,7.0625,7.0,7.0,2975200.0
1995-02-01,5.439435958862305,6.9375,7.0625,6.875,7.0625,2668000.0
1995-02-02,5.439435958862305,6.9375,7.0,6.875,6.9375,1846800.0
1995-02-03,5.537447929382324,7.0625,7.0625,6.9375,6.9375,3790800.0
1995-02-06,5.537447929382324,7.0625,7.125,7.0,7.0625,2963200.0
1995-02-07,5.635455131530762,7.1875,7.1875,7.125,7.125,2994800.0
1995-02-08,5.635455131530762,7.1875,7.3125,7.125,7.1875,3764800.0
1995-02-09,5.684457778930664,7.25,7.25,7.0625,7.1875,1978400.0
1995-02-10,5.635455131530762,7.1875,7.25,7.1875,7.25,1724200.0
1995-02-13,5.586451053619385,7.125,7.1875,7.125,7.1875,1560000.0
1995-02-14,5.586451053619385,7.125,7.1875,7.0625,7.125,1967200.0
1995-02-15,5.635455131530762,7.1875,7.1875,7.125,7.125,1822800.0
1995-02-16,5.635455131530762,7.1875,7.1875,7.125,7.1875,1477000.0
1995-02-17,5.684457778930664,7.25,7.3125,7.1875,7.1875,3836600.0
