Date,Adj Close,Close,High,Low,Open,Volume
2021-12-10,742.5,742.5,742.5,742.5,742.5,4000.0
2021-12-13,746.25,746.25,746.25,746.25,746.25,4.0
2021-12-14,750.0,750.0,750.0,750.0,750.0,4.0
2021-12-15,750.0,750.0,750.0,750.0,750.0,0.0
2021-12-16,750.0,750.0,750.0,750.0,750.0,0.0
2021-12-17,750.0,750.0,750.0,750.0,750.0,0.0
2021-12-20,741.75,741.75,741.75,741.0,741.75,232.0
2021-12-21,741.75,741.75,746.25,741.0,744.0,137.0
2021-12-22,741.0,741.0,741.0,741.0,741.0,4.0
2021-12-23,748.5,748.5,748.5,741.0,741.0,349.0
2021-12-27,748.5,748.5,748.5,748.5,748.5,0.0
2021-12-28,741.0,741.0,744.75,741.0,741.0,12.0
2021-12-29,741.0,741.0,741.0,741.0,741.0,0.0
2021-12-30,741.0,741.0,741.0,741.0,741.0,0.0
2021-12-31,743.25,743.25,743.25,742.5,742.5,5.0
2022-01-03,743.25,743.25,743.25,740.25,740.25,4065.0
2022-01-04,743.25,743.25,743.25,743.25,743.25,0.0
2022-01-05,742.5,742.5,743.25,742.5,742.5,105.0
2022-01-06,744.0,744.0,744.0,742.5,742.5,779.0
2022-01-07,744.75,744.75,744.75,743.25,743.25,45.0
2022-01-10,743.25,743.25,743.25,743.25,743.25,3.0
2022-01-11,743.25,743.25,743.25,743.25,743.25,0.0
2022-01-12,743.25,743.25,744.0,743.25,744.0,4355.0
2022-01-13,743.25,743.25,743.25,742.5,742.5,83.0
2022-01-14,744.0,744.0,744.0,744.0,744.0,333.0
2022-01-18,744.0,744.0,744.0,744.0,744.0,0.0
2022-01-19,744.0,744.0,744.0,743.25,743.25,272.0
2022-01-20,742.5,742.5,742.5,742.5,742.5,533.0
2022-01-21,742.5,742.5,742.5,742.5,742.5,0.0
2022-01-24,744.75,744.75,744.75,742.5,742.5,6040.0
2022-01-25,744.75,744.75,744.75,744.75,744.75,0.0
2022-01-26,743.625,743.625,747.0,743.25,743.25,1224.0
2022-01-27,742.5,742.5,743.25,742.5,743.25,969.0
2022-01-28,743.25,743.25,744.0,743.25,744.0,25.0
2022-01-31,743.25,743.25,743.25,743.25,743.25,0.0
2022-02-01,746.25,746.25,746.25,746.25,746.25,124.0
