Date,Adj Close,Close,High,Low,Open,Volume
1999-04-28,11.456317901611328,18.25,18.25,18.25,18.25,100.0
1999-04-29,11.456317901611328,18.25,18.25,18.25,18.25,0.0
1999-04-30,11.927122116088867,19.0,19.0,19.0,19.0,2000.0
1999-05-03,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-05-04,12.711808204650879,20.25,20.25,20.25,20.25,200.0
1999-05-05,12.711808204650879,20.25,20.25,20.25,20.25,0.0
1999-05-06,12.711808204650879,20.25,20.25,20.25,20.25,0.0
1999-05-07,12.711808204650879,20.25,20.25,20.25,20.25,0.0
1999-05-10,12.711808204650879,20.25,20.25,20.25,20.25,0.0
1999-05-11,13.025677680969238,20.75,20.75,20.75,20.75,200.0
1999-05-12,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-13,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-14,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-17,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-18,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-19,13.025677680969238,20.75,20.75,20.75,20.75,0.0
1999-05-20,12.397934913635254,19.75,19.75,19.75,19.75,2400.0
1999-05-21,12.397934913635254,19.75,19.75,19.75,19.75,0.0
1999-05-24,12.397934913635254,19.75,19.75,19.75,19.75,0.0
1999-05-25,12.397934913635254,19.75,19.75,19.75,19.75,0.0
1999-05-26,11.613255500793457,18.5,19.0,18.25,19.0,3200.0
1999-05-27,13.182609558105469,21.0,21.0,21.0,21.0,200.0
1999-05-28,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-01,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-02,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-03,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-04,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-07,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-08,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-09,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-10,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-11,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-14,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-15,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-16,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-17,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-18,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-21,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-22,13.182609558105469,21.0,21.0,21.0,21.0,0.0
1999-06-23,12.711808204650879,20.25,20.25,19.0,19.0,700.0
1999-06-24,12.711808204650879,20.25,20.25,20.25,20.25,500.0
1999-06-25,12.084060668945312,19.25,19.25,19.25,19.25,300.0
1999-06-28,11.613255500793457,18.5,19.5,18.25,19.0,11100.0
1999-06-29,11.927122116088867,19.0,19.0,18.75,18.75,800.0
1999-06-30,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-01,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-02,11.927122116088867,19.0,19.0,19.0,19.0,500.0
1999-07-06,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-07,11.956551551818848,19.046875,19.046875,19.0,19.0,72400.0
1999-07-08,11.956551551818848,19.046875,19.046875,19.046875,19.046875,0.0
1999-07-09,11.927122116088867,19.0,19.5,19.0,19.0,500.0
1999-07-12,11.927122116088867,19.0,19.0,19.0,19.0,700.0
1999-07-13,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-14,11.927122116088867,19.0,19.5,19.0,19.5,600.0
1999-07-15,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-16,11.927122116088867,19.0,19.0,19.0,19.0,0.0
1999-07-19,11.956551551818848,19.046875,19.046875,19.0,19.0,178600.0
1999-07-20,11.956551551818848,19.046875,19.046875,19.046875,19.046875,0.0
1999-07-21,11.770188331604004,18.75,18.75,18.75,18.75,200.0
1999-07-22,11.770188331604004,18.75,18.75,18.75,18.75,0.0
1999-07-23,11.770188331604004,18.75,18.75,18.75,18.75,0.0
1999-07-26,12.240998268127441,19.5,19.5,19.5,19.5,300.0
1999-07-27,12.240998268127441,19.5,19.5,19.5,19.5,0.0
1999-07-28,12.240998268127441,19.5,19.5,19.5,19.5,200.0
