Date,Adj Close,Close,High,Low,Open,Volume
1994-02-09,8.0,8.0,8.25,7.25,8.0,330200.0
1994-02-10,7.75,7.75,8.0,7.625,8.0,93500.0
1994-02-11,7.8125,7.8125,8.0,7.75,8.0,3700.0
1994-02-14,7.875,7.875,8.0,7.75,7.875,48600.0
1994-02-15,8.25,8.25,8.25,7.75,8.25,70200.0
1994-02-16,8.0,8.0,8.25,7.875,7.875,94500.0
1994-02-17,7.75,7.75,8.25,7.75,8.0,44200.0
1994-02-18,7.5,7.5,8.0,7.5,7.75,41000.0
1994-02-22,7.5,7.5,8.0,7.5,7.5,22400.0
1994-02-23,7.6875,7.6875,7.875,7.5,7.5,34800.0
1994-02-24,7.75,7.75,7.75,7.25,7.5,14300.0
1994-02-25,7.25,7.25,7.75,7.25,7.25,13400.0
1994-02-28,7.25,7.25,7.75,7.25,7.25,22900.0
1994-03-01,7.75,7.75,8.0,7.25,7.25,24300.0
1994-03-02,7.875,7.875,8.25,7.5,7.5,35100.0
1994-03-03,8.09375,8.09375,8.125,7.75,7.875,45700.0
1994-03-04,8.125,8.125,8.25,8.0,8.0,36100.0
1994-03-07,8.0,8.0,8.5,8.0,8.25,19700.0
1994-03-08,8.5,8.5,8.5,7.875,8.5,113400.0
1994-03-09,8.25,8.25,8.5,8.0,8.5,45700.0
1994-03-10,8.25,8.25,8.5,8.25,8.375,13500.0
1994-03-11,8.25,8.25,8.5,8.25,8.25,36800.0
1994-03-14,7.75,7.75,8.5,7.75,8.25,22600.0
1994-03-15,7.875,7.875,8.625,7.75,8.125,21700.0
1994-03-16,8.625,8.625,8.625,7.875,7.875,71300.0
1994-03-17,8.5,8.5,8.625,8.0,8.625,54200.0
1994-03-18,8.5,8.5,8.5,7.75,8.0,40300.0
1994-03-21,8.5,8.5,8.5,8.5,8.5,300.0
1994-03-22,7.8125,7.8125,8.0,7.75,7.75,50300.0
1994-03-23,7.8125,7.8125,8.5,7.75,8.5,60500.0
1994-03-24,7.75,7.75,8.25,7.75,8.25,17100.0
1994-03-25,8.25,8.25,8.25,7.75,7.75,135300.0
1994-03-28,7.75,7.75,8.25,7.75,8.0,22900.0
1994-03-29,7.5,7.5,8.0,7.5,7.625,114500.0
1994-03-30,8.0,8.0,8.0,7.5,7.5,29900.0
1994-03-31,7.5,7.5,8.0,7.5,7.5,24900.0
1994-04-04,7.25,7.25,8.0,7.25,7.25,12100.0
1994-04-05,7.375,7.375,8.0,7.25,7.25,14100.0
1994-04-06,7.375,7.375,8.0,7.375,8.0,7500.0
1994-04-07,7.375,7.375,7.875,7.375,7.375,8300.0
1994-04-08,7.625,7.625,8.0,7.375,7.375,2700.0
1994-04-11,7.375,7.375,7.375,7.375,7.375,8500.0
1994-04-12,6.75,6.75,7.5,6.0,7.375,87200.0
1994-04-13,6.625,6.625,7.0,6.625,7.0,7500.0
1994-04-14,7.0,7.0,7.125,7.0,7.0,8300.0
1994-04-15,6.75,6.75,7.25,6.4375,6.4375,8500.0
1994-04-18,6.5,6.5,6.5,6.5,6.5,5800.0
1994-04-19,6.625,6.625,7.25,6.5,7.25,16400.0
1994-04-20,7.375,7.375,7.375,6.625,7.25,34200.0
1994-04-21,6.875,6.875,7.5,6.625,6.625,27000.0
1994-04-22,7.25,7.25,7.625,6.875,7.59375,42600.0
1994-04-25,7.125,7.125,7.125,7.125,7.125,18300.0
1994-04-26,7.625,7.625,7.625,7.0,7.125,60900.0
1994-04-28,7.0,7.0,7.625,7.0,7.625,10400.0
1994-04-29,7.5,7.5,7.625,7.0,7.625,14200.0
1994-05-02,7.0,7.0,7.625,7.0,7.625,5600.0
