Date,Adj Close,Close,High,Low,Open,Volume
2000-07-12,13.0,13.0,13.78125,12.625,13.03125,2563200.0
2000-07-13,13.125,13.125,13.125,13.0,13.125,629400.0
2000-07-14,13.0625,13.0625,13.5,13.0,13.1875,419900.0
2000-07-17,12.0625,12.0625,13.125,12.0,13.125,503400.0
2000-07-18,9.875,9.875,13.0,9.75,12.375,1726200.0
2000-07-19,9.125,9.125,10.5,8.625,10.46875,1153500.0
2000-07-20,9.0,9.0,9.125,8.875,9.125,287100.0
2000-07-21,8.359375,8.359375,9.125,8.3125,9.03125,263900.0
2000-07-24,7.6875,7.6875,8.5,7.5,8.375,356700.0
2000-07-25,7.25,7.25,7.875,7.0,7.875,164700.0
2000-07-26,6.6875,6.6875,7.125,6.625,7.09375,200700.0
2000-07-27,5.75,5.75,6.75,5.625,6.5625,272200.0
2000-07-28,5.5,5.5,6.0,4.75,5.9375,1127300.0
2000-07-31,6.375,6.375,7.25,5.4375,5.5,618200.0
2000-08-01,6.6875,6.6875,7.125,6.625,6.75,630600.0
2000-08-02,6.5,6.5,7.0,6.375,6.84375,200500.0
2000-08-03,6.125,6.125,6.546875,6.0,6.5,240100.0
2000-08-04,6.5,6.5,6.875,6.125,6.84375,231600.0
2000-08-07,6.375,6.375,6.75,6.25,6.375,108100.0
2000-08-08,6.25,6.25,6.5,6.25,6.28125,211500.0
2000-08-09,5.6875,5.6875,6.5,5.625,6.5,81100.0
2000-08-10,6.15625,6.15625,6.3125,5.71875,5.75,174200.0
2000-08-11,5.875,5.875,6.125,5.8125,6.03125,56800.0
2000-08-14,5.75,5.75,6.0,5.375,5.90625,223000.0
2000-08-15,5.125,5.125,5.75,5.0,5.75,241400.0
2000-08-16,5.375,5.375,5.5,5.25,5.375,86200.0
2000-08-17,5.875,5.875,5.875,5.25,5.40625,85800.0
2000-08-18,6.25,6.25,6.5625,5.625,5.875,145400.0
2000-08-21,6.375,6.375,6.5,6.375,6.46875,217400.0
2000-08-22,6.375,6.375,6.875,6.375,6.4375,134600.0
2000-08-23,6.375,6.375,6.6875,6.25,6.53125,140100.0
2000-08-24,6.625,6.625,6.875,6.375,6.625,576800.0
2000-08-25,6.375,6.375,7.0,6.375,6.84375,145700.0
2000-08-28,6.4375,6.4375,6.75,6.375,6.6875,39600.0
2000-08-29,6.40625,6.40625,6.625,6.375,6.515625,86800.0
2000-08-30,6.4375,6.4375,6.5,6.375,6.4375,34900.0
2000-08-31,7.625,7.625,8.125,6.5,6.625,266400.0
2000-09-01,7.5,7.5,8.0625,7.125,7.8125,168600.0
2000-09-05,6.875,6.875,7.625,6.875,7.5,91100.0
2000-09-06,6.9375,6.9375,7.375,6.875,7.375,111300.0
2000-09-07,7.3125,7.3125,7.875,6.9375,7.6875,36000.0
2000-09-08,7.125,7.125,7.40625,6.5,7.265625,83600.0
2000-09-11,6.75,6.75,7.0,6.75,7.0,83300.0
2000-09-12,6.875,6.875,7.0625,6.75,7.03125,58900.0
2000-09-13,7.0,7.0,7.125,6.875,6.9375,45200.0
2000-09-14,7.625,7.625,8.125,7.234375,7.234375,176300.0
2000-09-15,7.625,7.625,8.0,7.25,7.6875,91400.0
2000-09-18,7.3125,7.3125,7.75,7.0,7.71875,116900.0
2000-09-19,7.8125,7.8125,7.8125,7.0625,7.3125,142800.0
2000-09-20,7.5,7.5,7.875,7.25,7.59375,84000.0
2000-09-21,7.125,7.125,7.21875,7.0,7.21875,71600.0
2000-09-22,6.6875,6.6875,7.0,6.5625,6.75,56300.0
2000-09-25,6.5,6.5,6.875,6.4375,6.75,41000.0
2000-09-26,6.375,6.375,6.875,6.375,6.5,96800.0
2000-09-27,6.03125,6.03125,6.4375,5.875,6.40625,252400.0
2000-09-28,5.5,5.5,5.9375,5.25,5.9375,151400.0
2000-09-29,5.8125,5.8125,5.875,5.25,5.34375,25200.0
2000-10-02,5.4375,5.4375,5.75,5.328125,5.5,12200.0
2000-10-03,5.375,5.375,5.5,5.3125,5.375,19900.0
2000-10-04,5.4375,5.4375,5.4375,5.25,5.375,18200.0
2000-10-05,4.875,4.875,5.4375,4.8125,5.25,68600.0
2000-10-06,4.0,4.0,5.0,3.625,4.9375,212000.0
2000-10-09,4.375,4.375,5.5,4.125,4.265625,156000.0
2000-10-10,4.28125,4.28125,4.5,4.125,4.359375,45400.0
2000-10-11,4.0,4.0,4.25,3.75,4.078125,103800.0
2000-10-12,4.046875,4.046875,4.375,4.0,4.359375,49500.0
2000-10-13,5.375,5.375,5.375,4.03125,4.140625,100200.0
2000-10-16,5.0,5.0,5.375,4.75,5.25,37000.0
2000-10-17,4.375,4.375,4.875,4.375,4.875,21900.0
2000-10-18,4.3125,4.3125,4.625,4.125,4.625,21300.0
2000-10-19,4.5625,4.5625,4.625,4.125,4.4375,52300.0
2000-10-20,4.5625,4.5625,4.625,4.4375,4.625,61800.0
2000-10-23,4.625,4.625,4.625,4.5,4.609375,32700.0
2000-10-24,4.375,4.375,4.625,4.3125,4.625,16300.0
2000-10-25,4.25,4.25,4.375,4.03125,4.265625,10700.0
2000-10-26,4.25,4.25,4.375,4.03125,4.375,16400.0
2000-10-27,4.3125,4.3125,4.375,4.0,4.234375,49400.0
2000-10-30,4.25,4.25,4.46875,4.125,4.46875,51900.0
2000-10-31,3.03125,3.03125,4.375,3.0,4.15625,382600.0
2000-11-01,3.125,3.125,3.1875,2.5625,3.03125,393600.0
